Unnamed: 0,Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,Sheet Link
,Foundations of Biology,FOB,BIO101,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQZyQdcTzRSTTdex_nZyO2XIHGYQsNi5quu2-4SMngwINszA4XB-ZJXlwF_ETdpaBgSACl2l3EKZcMd/pubhtml?widget=true&amp;headers=false
,Cell Biology and Bio-Chemistry,CBB,BIO211,,,Monsoon,https://docs.google.com/spreadsheets/d/1N1fhCwaaBxHzdS2km-KrEUg4lZzlwKZN/pubhtml?widget=true&amp;headers=false
,Introduction to Quantitative Biology,IQB,BIO213,MTH100,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTNK82nmg34cFhO9WX5ZR7dCmZVPg_wU1q5YTzQi-S-tebvkhipxVzWi5h9cb1BD8nz3zcPC3pxpw5h/pubhtml?gid=1849019140&amp;single=true&amp;widget=true&amp;headers=false
,Genetics and Molecular Biology,GMB,BIO214,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSY5emyA2KdL8CnJ9b4TGHlMmM6_u37GiQK9nuTKVKvJ-1JWuzjeNIgO_0hMr0v2GX4iz1JoHqYW1Gw/pubhtml?gid=1101101345&amp;single=true&amp;widget=true&amp;headers=false
,Practical Bioinformatics,PB,BIO221,,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vS4seIwHx4yxXglnT4DUYwuk8lfTLorYh1pBeTC75iRBh7gbhSoS0U0bRJWZ_GFQK4tiPxAnVoz__i2/pubhtml?widget=true&amp;headers=false
,Algorithms in Bioinformatics,ABIN,BIO321,Oneprogrammingcourse,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTorvpRI_q97bcGr2r9kZ6jTf_6gxcrWHprxBkFF1A9D88OWtxcMrChUNjlJKbowQ/pubhtml?widget=true&amp;headers=false
,Biophysics,BioP,BIO361,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQYwmzGSNa7HFoZL6ysgh7fLi6UgLR39H7kQqTyFzfndGZR2GWAgBQkDhFhu7eZGwGYwBfr07kSNd8M/pubhtml?gid=1719690183&amp;single=true&amp;widget=true&amp;headers=false
,Stochastic Simulations in Systems Biology and Biophysics,SSSBB,BIO506,BIO531,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTyoEEKe6EpCTngUW-Z9fO5moHYq88VsrpeKn33qep3ibwU8KJ0BGJL2f1m8TiUDw/pubhtml?widget=true&amp;headers=false
,Cell Biology and Bio-Chemistry,CBB,BIO511,,BIO211,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTj1jx0wbos376anz8fXIHj4GB1QllY-_L181H3XGB-F4lFiV8g8lOTZU8Jzu0JwA/pubhtml?widget=true&amp;headers=false
,Foundations of Modern Biology,FOMB,BIO512,,"BIO601,BIO214",Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRbaPaDKS1r57xvHqlG7uGaVEA_P5_4IYfZUpJKbpTCEFmiVF7fhpoA3wD-F-IuO-hbarCCw2Y55_i4/pubhtml?gid=1329925911&amp;single=true&amp;widget=true&amp;headers=false
